# ipa-en.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict en_US（MIT）
# 只收能归约成单个词的条目，多词语块靠页面上的 TTS 朗读
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
compensation	/ˌkɑmpənˈseɪʃən/
table	/ˈteɪbəɫ/
poster / flyer	/ˈpoʊstɝ/ / /ˈfɫaɪɝ/
rise / increase / grow	/ˈɹaɪz/ / /ˈɪnˌkɹis/ / /ˈɡɹoʊ/
climb	/ˈkɫaɪm/
surge	/ˈsɝdʒ/
soar	/ˈsɔɹ/
fall / decline / decrease	/ˈfɑɫ/ / /dɪˈkɫaɪn/ / /ˈdiˌkɹis/
drop	/ˈdɹɑp/
plummet	/ˈpɫəmət/
dip	/ˈdɪp/
plateau	/pɫæˈtoʊ/
fluctuate	/ˈfɫəktʃəˌweɪt/
sharply / dramatically	/ˈʃɑɹpɫi/ / /dɹəˈmætɪkəɫi/
steadily / gradually	/ˈstɛdəɫi/ / /ˈɡɹædʒuəɫi/
slightly / marginally	/ˈsɫaɪtɫi/ / /ˈmɑɹdʒənəɫi/
significantly / considerably	/sɪɡˈnɪfɪkəntɫi/ / /kənˈsɪdɝəbɫi/
the highest / the peak	/ˈhaɪəst/ / /ˈpik/
outnumber	/aʊtˈnəmbɝ/
whereas / while	/hwɛˈɹæz/ / /ˈhwaɪɫ/
highlight	/ˈhaɪˌɫaɪt/
outline	/ˈaʊtˌɫaɪn/
propose	/pɹəˈpoʊz/
examine / explore	/ɪɡˈzæmɪn/ / /ɪksˈpɫɔɹ/
findings	/ˈfaɪndɪŋz/
implications	/ˌɪmpɫəˈkeɪʃənz/
drawbacks	/ˈdɹɔˌbæks/
factors	/ˈfæktɝz/
although … , …	/ˌɔɫˈðoʊ/
moreover / furthermore	/mɔˈɹoʊvɝ/ / /ˈfɝðɝˌmɔɹ/
however / nevertheless	/ˌhaʊˈɛvɝ/ / /ˌnɛvɝðəˈɫɛs/
therefore / thus	/ˈðɛɹˌfɔɹ/ / /ˈðəs/
vacancy / opening	/ˈveɪkənsi/ / /ˈoʊpənɪŋ/
qualifications	/ˌkwɑɫəfəˈkeɪʃənz/
credentials	/kɹəˈdɛnʃəɫz/
references	/ˈɹɛfɝənsɪz/
permanent / temporary	/ˈpɝmənənt/ / /ˈtɛmpɝˌɛɹi/
overtime	/ˈoʊvɝˌtaɪm/
salary / wage	/ˈsæɫɝi/ / /ˈweɪdʒ/
colleague / coworker	/ˈkɑɫiɡ/ / /ˈkoʊˈwɝkɝ/
staff	/ˈstæf/
workload	/ˈwɝˌkɫoʊd/
deadline	/ˈdɛdˌɫaɪn/
agenda	/əˈdʒɛndə/
minutes	/ˈmɪnəts/
reschedule	/ɹiˈskɛdʒuɫ/
attend	/əˈtɛnd/
milestone	/ˈmaɪɫˌstoʊn/
deliverable	/dɪˈɫɪvɝəbəɫ/
stakeholder	/ˈsteɪkˌhoʊɫdɝ/
delegate	/ˈdɛɫəˌɡeɪt/
feedback	/ˈfidˌbæk/
promotion	/pɝˈmoʊʃən/
mentor	/ˈmɛnˌtɔɹ/
dismiss / fire	/dɪsˈmɪs/ / /ˈfaɪɝ/
grievance	/ˈɡɹivəns/
harassment	/hɝˈæsmənt/
discrimination	/dɪsˌkɹɪməˈneɪʃən/
burnout	/ˈbɝˌnaʊt/
commute	/kəmˈjut/
landlord / landlady	/ˈɫændˌɫɔɹd/ / /ˈɫændˌɫeɪdi/
tenant	/ˈtɛnənt/
rent	/ˈɹɛnt/
utilities	/juˈtɪɫətiz/
hydro	/ˈhaɪˌdɹoʊ/
superintendent / super	/ˌsupɝənˈtɛndənt/ / /ˈsupɝ/
sublet	/ˈsəˌbɫɛt/
leak	/ˈɫik/
faulty	/ˈfɔɫti/
repair / fix	/ɹɪˈpɛɹ/ / /ˈfɪks/
heating / furnace	/ˈhitɪŋ/ / /ˈfɝnəs/
plumbing	/ˈpɫəmɪŋ/
infestation	/ˌɪnˈfɛsˈteɪʃən/
mortgage	/ˈmɔɹɡədʒ/
neighbour	/ˈneɪbɝ/
