# ipa-fr-manual.tsv —— 手写音标，build-data 合并时优先于 ipa-fr.tsv
# build:ipa 不会覆盖这份表。收录词典查不到的单词（省音、连字符词、缩写、魁北克词）和所有多词语块
# 短语按实际读法转写，‿ 标联诵（les‿enfants /lez‿ɑ̃fɑ̃/）；单词表里的名词沿用 ipa-fr.tsv 惯例不带冠词，短语表带冠词
# 占位符写成 …
# 以标准加拿大法语为准：区分 /a/–/ɑ/（relâche /ʁəlɑʃ/）、/ɛ/–/ɛː/（tempête /tɑ̃pɛːt/）、/ɛ̃/–/œ̃/；塞擦化等自动音变不标
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
la piastre / la piasse	/pjastʁ/ / /pjas/
bienvenue!	/bjɛ̃vəny/
Bonjour-hi	/bɔ̃ʒuʁ haj/
le CLSC	/seɛlɛsse/
la RAMQ	/ʁamk/
le cégep	/seʒɛp/
la SAQ	/ɛsaky/
la SAAQ	/ɛsaaky/
la garderie / le CPE	/gaʁdəʁi/ / /sepeə/
la francisation	/fʁɑ̃sizasjɔ̃/
le NAS (numéro d'assurance sociale)	/ɛnaɛs/ / /nymeʁo dasyʁɑ̃s sɔsjal/
l'assurance-emploi	/asyʁɑ̃s ɑ̃plwa/
le REER / le CELI	/ʁeɛʁ/ / /seli/
le déneigement	/deneʒmɑ̃/
la poutine	/putin/
l'interculturalisme / le multiculturalisme	/ɛ̃tɛʁkyltyʁalism/ / /myltikyltyʁalism/
l'itinérance	/itineʁɑ̃s/
le bien-être	/bjɛ̃nɛːtʁ/
s'inscrire / l'inscription	/sɛ̃skʁiʁ/ / /ɛ̃skʁipsjɔ̃/
le diplôme / diplômé(e)	/diplom/ / /diplome/
le vivre-ensemble	/vivʁɑ̃sɑ̃bl/
se connecter / la connexion	/sə kɔnɛkte/ / /kɔnɛksjɔ̃/
la fraude / l'hameçonnage	/fʁod/ / /amsɔnaʒ/
la végétarien(ne) / végétalien(ne)	/veʒetaʁjɛ̃, -jɛn/ / /veʒetaljɛ̃, -jɛn/
renseigner / se renseigner	/ʁɑ̃seɲe/ / /sə ʁɑ̃seɲe/
s'asseoir	/saswaʁ/
plus-que-parfait	/plyskəpaʁfɛ/
-ment	/mɑ̃/
-age	/aʒ/
-eau / -ou	/o/ / /u/
-isme	/ism/
-eur（事物/职业）	/œʁ/
-oir	/waʁ/
-al / -ail	/al/ / /aj/
-if	/if/
-tion / -sion	/sjɔ̃/ / /sjɔ̃, zjɔ̃/
-té / -tié	/te/ / /tje/
-ure	/yʁ/
-ance / -ence	/ɑ̃s/ / /ɑ̃s/
-ette / -elle	/ɛt/ / /ɛl/
-ie	/i/
-esse / -eur（抽象）	/ɛs/ / /œʁ/
-ade / -ude	/ad/ / /yd/
s'accroître / s'aggraver	/sakʁwatʁ/ / /sagʁave/
se généraliser	/sə ʒeneʁalize/
se stabiliser	/sə stabilize/
la compétence（管辖）	/kɔ̃petɑ̃s/
l'autonomie	/otɔnɔmi/
le sous-traitant	/sutʁɛtɑ̃/
la CNESST	/seɛnəɛsɛste/
le congédiement	/kɔ̃ʒedimɑ̃/
le sous-sol	/susɔl/
le rez-de-chaussée	/ʁedʃose/
le chauffe-eau	/ʃofo/
la visite（看房）	/vizit/
l'ambulancier / le paramédic	/ɑ̃bylɑ̃sje/ / /paʁamedik/
le physiothérapeute / la physiothérapie	/fizjoteʁapøt/ / /fizjoteʁapi/
l'optométriste	/ɔptɔmetʁist/
le CHSLD	/seaʃɛsɛlde/
le GMF (groupe de médecine familiale)	/ʒeɛmɛf/ / /gʁup də medsin familjal/
la téléconsultation	/telekɔ̃syltasjɔ̃/
le RRQ / le RPC	/ɛʁɛʁky/ / /ɛʁpese/
la préautorisation	/pʁeotɔʁizasjɔ̃/
le pare-brise / les essuie-glaces	/paʁbʁiz/ / /esɥiglas/
le chauffe-moteur	/ʃofmɔtœʁ/
la correspondance（航班）	/kɔʁɛspɔ̃dɑ̃s/
le navetteur	/navɛtœʁ/
le DEC (diplôme d'études collégiales)	/dɛk/ / /diplom detyd kɔleʒjal/
l'analphabétisme / la littératie	/analfabetism/ / /liteʁasi/
le mentorat	/mɑ̃tɔʁa/
biodégradable / compostable	/bjɔdegʁadabl/ / /kɔ̃pɔstabl/
la thermopompe	/tɛʁmɔpɔ̃p/
la carboneutralité	/kaʁbɔnøtʁalite/
