# ipa-en-manual.tsv —— 手写音标，build-data 合并时优先于 ipa-en.tsv
# build:ipa 不会覆盖这份表。收录词典查不到的单词（英式拼写、连字符词、新词、缩写）和所有多词语块
# 短语按连读实际读法转写：只给实词标重音，功能词用弱读（to /tə/、of /əv/、and /ən/……），不是逐词拼接
# 符号体系与 ipa-en.tsv（ipa-dict en_US）一致：ɹ ɫ ɝ ɑ oʊ；占位符写成 …
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
Dear Mr./Ms. + 姓	/ˈdɪɹ ˈmɪstɝ …/ / /ˈdɪɹ ˈmɪz …/
Dear + 名	/ˈdɪɹ …/
Hi + 名	/ˈhaɪ …/
To whom it may concern	/tə ˈhum ɪt meɪ kənˈsɝn/
I am writing to inform you that	/aɪ əm ˈɹaɪtɪŋ tu ɪnˈfɔɹm ju ðət/
I am writing to enquire about	/aɪ əm ˈɹaɪtɪŋ tu ɪnˈkwaɪɹ əˈbaʊt/
I am writing with regard to	/aɪ əm ˈɹaɪtɪŋ wɪð ɹɪˈɡɑɹd tə/
I am writing to express my concern about	/aɪ əm ˈɹaɪtɪŋ tu ɪkˈspɹɛs maɪ kənˈsɝn əˈbaʊt/
I am writing to request	/aɪ əm ˈɹaɪtɪŋ tə ɹɪˈkwɛst/
I hope this email finds you well	/aɪ ˈhoʊp ðɪs ˈiˌmeɪɫ ˈfaɪndz ju ˈwɛɫ/
Thank you for your email regarding	/ˈθæŋk ju fɝ jɝ ˈiˌmeɪɫ ɹɪˈɡɑɹdɪŋ/
Further to our conversation on	/ˈfɝðɝ tu ˈaʊɝ ˌkɑnvɝˈseɪʃən ɑn/
I am following up on	/aɪ əm ˈfɑɫoʊɪŋ ˈəp ɑn/
Please be advised that	/ˈpɫiz bi ədˈvaɪzd ðət/
I would like to draw your attention to	/aɪ wəd ˈɫaɪk tə ˈdɹɔ jɝ əˈtɛnʃən tu/
As you may be aware	/əz ju meɪ bi əˈwɛɹ/
It has come to my attention that	/ɪt həz ˈkəm tə maɪ əˈtɛnʃən ðət/
for your reference	/fɝ jɝ ˈɹɛfɹəns/
Please find attached	/ˈpɫiz ˈfaɪnd əˈtætʃt/
I would appreciate it if you could	/aɪ wəd əˈpɹiʃiˌeɪt ɪt ɪf ju kʊd/
Could you please + 动词原形	/kʊd ju ˈpɫiz …/
I would be grateful if you could	/aɪ wəd bi ˈɡɹeɪtfəɫ ɪf ju kʊd/
Would it be possible to	/wʊd ɪt bi ˈpɑsəbəɫ tə/
I am writing to ask whether	/aɪ əm ˈɹaɪtɪŋ tu ˈæsk ˈwɛðɝ/
at your earliest convenience	/ət jɝ ˈɝɫiəst kənˈvinjəns/
Kindly + 动词原形	/ˈkaɪndɫi …/
Please accept my sincere apologies for	/ˈpɫiz əkˈsɛpt maɪ sɪnˈsɪɹ əˈpɑɫədʒiz fɔɹ/
I sincerely apologise for	/aɪ sɪnˈsɪɹɫi əˈpɑɫəˌdʒaɪz fɔɹ/
I regret to inform you that	/aɪ ɹɪˈɡɹɛt tu ɪnˈfɔɹm ju ðət/
We are sorry for any inconvenience caused	/wi ɝ ˈsɑɹi fɝ ˈɛni ˌɪnkənˈvinjəns ˈkɔzd/
This was an oversight on our part	/ðɪs wəz ən ˈoʊvɝˌsaɪt ɑn ˈaʊɝ ˈpɑɹt/
rest assured that	/ˈɹɛst əˈʃʊɹd ðət/
fall short of	/ˈfɑɫ ˈʃɔɹt əv/
be dissatisfied with	/bi dɪˈsætɪsˌfaɪd wɪð/
on three separate occasions	/ɑn ˈθɹi ˈsɛpɹət əˈkeɪʒənz/
to no avail	/tə ˈnoʊ əˈveɪɫ/
I trust you will	/aɪ ˈtɹəst ju wɪɫ/
seek a resolution	/ˈsik ə ˌɹɛzəˈɫuʃən/
a full refund	/ə ˈfʊɫ ˈɹiˌfənd/
due to circumstances beyond our control	/ˈdu tə ˈsɝkəmˌstænsɪz biˈjɑnd ˈaʊɝ kənˈtɹoʊɫ/
owing to	/ˈoʊɪŋ tu/
with a view to + V-ing	/wɪð ə ˈvju tu …/
in an effort to	/ɪn ən ˈɛfɝt tə/
I would suggest that we	/aɪ wəd səɡˈdʒɛst ðət wi/
One option would be to	/ˈwən ˈɑpʃən wəd bi tə/
Alternatively, you may wish to	/ɔɫˈtɝnətɪvɫi ju meɪ ˈwɪʃ tə/
I am happy to	/aɪ əm ˈhæpi tə/
If this is not convenient, please let me know	/ɪf ðɪs ɪz ˈnɑt kənˈvinjənt ˈpɫiz ˈɫɛt mi ˈnoʊ/
Please do not hesitate to contact me	/ˈpɫiz du ˈnɑt ˈhɛzəˌteɪt tə ˈkɑnˌtækt mi/
I look forward to hearing from you	/aɪ ˈɫʊk ˈfɔɹwɝd tə ˈhɪɹɪŋ fɹəm ju/
I await your response	/aɪ əˈweɪt jɝ ɹɪˈspɑns/
Thank you for your time and consideration	/ˈθæŋk ju fɝ jɝ ˈtaɪm ən kənˌsɪdɝˈeɪʃən/
Thank you in advance for your assistance	/ˈθæŋk ju ɪn ədˈvæns fɝ jɝ əˈsɪstəns/
Yours sincerely	/ˈjɔɹz sɪnˈsɪɹɫi/
Yours faithfully	/ˈjɔɹz ˈfeɪθfəɫi/
Kind regards	/ˈkaɪnd ɹɪˈɡɑɹdz/
Best regards	/ˈbɛst ɹɪˈɡɑɹdz/
Warm regards	/ˈwɔɹm ɹɪˈɡɑɹdz/
Thanks for letting me know	/ˈθæŋks fɝ ˈɫɛtɪŋ mi ˈnoʊ/
I really appreciate you asking me	/aɪ ˈɹɪɫi əˈpɹiʃiˌeɪt ju ˈæskɪŋ mi/
That's a good point	/ˈðæts ə ˈɡʊd ˈpɔɪnt/
Let me see what I can do	/ˈɫɛt mi ˈsi wət aɪ kən ˈdu/
I can understand why you feel that way	/aɪ kən ˌəndɝˈstænd ˈwaɪ ju ˈfiɫ ˈðæt ˈweɪ/
I'm afraid I won't be able to	/aɪm əˈfɹeɪd aɪ ˈwoʊnt bi ˈeɪbəɫ tə/
Unfortunately, I've already committed to	/ənˈfɔɹtʃənətɫi aɪv ɔɫˈɹɛdi kəˈmɪtɪd tə/
I'd love to, but	/aɪd ˈɫəv tu bət/
a prior engagement	/ə ˈpɹaɪɝ ɪnˈɡeɪdʒmənt/
Can I take a rain check?	/kən aɪ ˈteɪk ə ˈɹeɪn ˌtʃɛk/
Would it be okay if we postponed it?	/wʊd ɪt bi ˌoʊˈkeɪ ɪf wi poʊstˈpoʊnd ɪt/
I owe you an apology	/aɪ ˈoʊ ju ən əˈpɑɫədʒi/
I'm so sorry for the mix-up	/aɪm ˈsoʊ ˈsɑɹi fɝ ðə ˈmɪksˌəp/
It completely slipped my mind	/ɪt kəmˈpɫitɫi ˈsɫɪpt maɪ ˈmaɪnd/
Let me make it up to you	/ˈɫɛt mi ˈmeɪk ɪt ˈəp tə ju/
I take full responsibility	/aɪ ˈteɪk ˈfʊɫ ɹɪˌspɑnsəˈbɪɫəti/
Would you mind + V-ing	/wʊd ju ˈmaɪnd …/
I was wondering if you could	/aɪ wəz ˈwəndɝɪŋ ɪf ju kʊd/
Do you think you could possibly	/də ju ˈθɪŋk ju kəd ˈpɑsəbɫi/
Is there any chance you could	/ɪz ðɝ ˈɛni ˈtʃæns ju kʊd/
I'd really appreciate it if you could	/aɪd ˈɹɪɫi əˈpɹiʃiˌeɪt ɪt ɪf ju kʊd/
give me a hand	/ˈɡɪv mi ə ˈhænd/
If I were you, I'd	/ɪf aɪ wɝ ˈju aɪd/
You might want to consider	/ju maɪt ˈwɑnt tə kənˈsɪdɝ/
Have you thought about + V-ing	/həv ju ˈθɔt əˈbaʊt …/
It might be worth + V-ing	/ɪt maɪt bi ˈwɝθ …/
What I'd suggest is	/wət aɪd səɡˈdʒɛst ɪz/
Don't worry about it	/ˈdoʊnt ˈwɝi əˈbaʊt ɪt/
These things happen	/ˈðiz ˈθɪŋz ˈhæpən/
No harm done	/ˈnoʊ ˈhɑɹm ˈdən/
I'm sure it'll work out	/aɪm ˈʃʊɹ ɪtəɫ ˈwɝk ˈaʊt/
Let me know if there's anything I can do	/ˈɫɛt mi ˈnoʊ ɪf ðɝz ˈɛniˌθɪŋ aɪ kən ˈdu/
I don't mean to complain, but	/aɪ ˈdoʊnt ˈmin tə kəmˈpɫeɪn bət/
I wanted to bring something to your attention	/aɪ ˈwɑntɪd tə ˈbɹɪŋ ˈsəmθɪŋ tə jɝ əˈtɛnʃən/
It's been going on for a while now	/ɪts bɪn ˈɡoʊɪŋ ˈɑn fɝ ə ˈwaɪɫ ˈnaʊ/
