section|theme|fr|pos|en|zh|note|exemple
EO1|自我介绍|Je m'appelle… et je viens de…|expr.|My name is… and I come from…|我叫……，我来自……|Tâche 1 开口第一句，务必脱口而出|Je m'appelle Jian et je viens de Chine.
EO1|自我介绍|Je suis originaire de|expr.|I am originally from|我原籍是……|比 je viens de 更地道|Je suis originaire de la région de Shanghai.
EO1|自我介绍|Cela fait … que|expr.|It has been … since|已经……了|时间表达高分句型，后接现在时|Cela fait cinq ans que je travaille dans ce domaine.
EO1|自我介绍|Je travaille en tant que|expr.|I work as|我做……工作|en tant que 后不加冠词|Je travaille en tant qu'ingénieur.
EO1|自我介绍|Je suis passionné(e) par|expr.|I am passionate about|我热衷于|介词是 par|Je suis passionné par la photographie.
EO1|自我介绍|Ce qui me plaît le plus, c'est|expr.|What I like most is|我最喜欢的是|强调结构，考官爱听|Ce qui me plaît le plus, c'est le contact humain.
EO1|自我介绍|dans mon temps libre|loc.|in my free time|在我空闲时间|万能过渡|Dans mon temps libre, je fais du vélo.
EO1|自我介绍|avoir l'habitude de|expr.|to be used to|习惯于|后接动词原形|J'ai l'habitude de me lever tôt.
EO1|自我介绍|depuis mon arrivée|loc.|since my arrival|自从我到这里|移民话题高频|Depuis mon arrivée, j'ai beaucoup appris.
EO1|自我介绍|mon projet, c'est de|expr.|my plan is to|我的计划是|谈未来|Mon projet, c'est de m'installer au Québec.
EO1|自我介绍|avoir envie de|expr.|to feel like / to want to|想要|口语常用，胜过 vouloir|J'ai envie de découvrir une nouvelle culture.
EO1|自我介绍|Pour répondre à votre question|expr.|To answer your question|回答您的问题|争取思考时间的缓冲句|Pour répondre à votre question, je dirais que oui.
EO1|自我介绍|Si je comprends bien|expr.|If I understand correctly|如果我没理解错|没听清时的救命句|Si je comprends bien, vous voulez savoir pourquoi ?
EO1|自我介绍|Pourriez-vous répéter, s'il vous plaît ?|expr.|Could you repeat that, please?|能请您重复一遍吗|没听懂时用，不扣分反而显得自然|Excusez-moi, pourriez-vous répéter, s'il vous plaît ?
EO2|提问-信息|Je voudrais avoir des renseignements sur|expr.|I would like information about|我想了解关于……的信息|Tâche 2 角色扮演开场必用|Je voudrais avoir des renseignements sur vos cours de français.
EO2|提问-信息|Est-ce que vous pourriez me dire…|expr.|Could you tell me…|您能告诉我……吗|礼貌提问万能框架|Est-ce que vous pourriez me dire combien ça coûte ?
EO2|提问-信息|J'aimerais savoir si|expr.|I would like to know whether|我想知道是否|后接直陈式|J'aimerais savoir si le logement est meublé.
EO2|提问-信息|Quels sont les horaires ?|expr.|What are the opening hours?|营业时间是几点|Tâche 2 高频必问项|Quels sont les horaires d'ouverture ?
EO2|提问-信息|Combien ça coûte ? / Quel est le tarif ?|expr.|How much does it cost?|多少钱/费用是多少|tarif 更正式|Quel est le tarif mensuel ?
EO2|提问-信息|Est-ce qu'il y a des frais supplémentaires ?|expr.|Are there any extra charges?|有额外费用吗|租房购物高频|Est-ce qu'il y a des frais supplémentaires ?
EO2|提问-信息|Est-ce qu'il faut réserver à l'avance ?|expr.|Do I need to book in advance?|需要提前预约吗|服务场景高频|Est-ce qu'il faut réserver à l'avance ?
EO2|提问-信息|Qu'est-ce que vous me conseillez ?|expr.|What do you recommend?|您建议我怎么做|把球踢回给考官，拖时间且自然|Qu'est-ce que vous me conseillez dans mon cas ?
EO2|提问-信息|Y a-t-il une autre possibilité ?|expr.|Is there another option?|还有别的选择吗|推进对话|Y a-t-il une autre possibilité, si celle-ci ne convient pas ?
EO2|提议协商|Ça vous convient ? / Est-ce que ça vous irait ?|expr.|Does that work for you?|这样行吗|提议后确认，互动分关键|On se voit samedi, ça vous convient ?
EO2|提议协商|Je vous propose de|expr.|I suggest that we|我建议我们|后接动词原形|Je vous propose de commencer par une visite.
EO2|提议协商|Et si on…（+ 未完成过去时）|expr.|What if we…|我们要不要……|超地道提议句型|Et si on se retrouvait devant la station ?
EO2|提议协商|Ce serait possible de|expr.|Would it be possible to|有可能……吗|条件式礼貌请求|Ce serait possible de reporter le rendez-vous ?
EO2|提议协商|Ça ne vous dérange pas si|expr.|Do you mind if|您介意我……吗|礼貌程度高|Ça ne vous dérange pas si j'arrive un peu plus tard ?
EO2|提议协商|Je préférerais plutôt|expr.|I would rather|我更愿意|表达偏好，条件式|Je préférerais plutôt le matin.
EO2|提议协商|On pourrait peut-être|expr.|We could perhaps|我们也许可以|温和提议|On pourrait peut-être partager les frais.
EO2|提议协商|Ça marche ! / C'est entendu.|expr.|That works! / Agreed.|行/说定了|口语成交表达|Ça marche, à samedi alors !
EO2|接受拒绝|Volontiers ! / Avec plaisir !|expr.|Gladly! / With pleasure!|乐意之至|接受邀请的地道回答|Avec plaisir, je viendrai.
EO2|接受拒绝|Ça me convient parfaitement|expr.|That suits me perfectly|完全合适|接受提议|Ça me convient parfaitement.
EO2|接受拒绝|Je suis désolé(e), mais je ne peux pas|expr.|I am sorry, but I cannot|抱歉我不能|礼貌拒绝基本句|Je suis désolé, mais je ne peux pas ce jour-là.
EO2|接受拒绝|Malheureusement, j'ai déjà quelque chose de prévu|expr.|Unfortunately I already have plans|不巧我已有安排|万能拒绝理由|Malheureusement, j'ai déjà quelque chose de prévu.
EO2|接受拒绝|Ça m'arrangerait plutôt|expr.|It would suit me better|我更方便……|反提议|Ça m'arrangerait plutôt en fin de journée.
EO2|接受拒绝|Je vais y réfléchir|expr.|I will think about it|我考虑一下|不当场答应|Merci, je vais y réfléchir et je vous rappelle.
EO2|表达情绪|Ça m'embête un peu|expr.|That bothers me a bit|这让我有点困扰|温和抱怨|Ça m'embête un peu, ce bruit tous les soirs.
EO2|表达情绪|Je suis vraiment déçu(e)|expr.|I am really disappointed|我真的很失望|投诉场景|Je suis vraiment déçu de la qualité du service.
EO2|表达情绪|Je vous remercie infiniment|expr.|Thank you so much|万分感谢|高阶感谢|Je vous remercie infiniment de votre aide.
EO2|表达情绪|Ce n'est pas grave|expr.|It is not a big deal|没关系|接受道歉|Ce n'est pas grave, ça arrive.
EO2|表达情绪|Je comprends tout à fait|expr.|I completely understand|我完全理解|共情，互动加分|Je comprends tout à fait votre situation.
ARGU|引入话题|De nos jours|loc.|Nowadays|如今|Tâche 3 开场万能|De nos jours, le télétravail est très répandu.
ARGU|引入话题|Il est indéniable que|expr.|It is undeniable that|不可否认的是|开场高分句，后接直陈式|Il est indéniable que la technologie a changé nos habitudes.
ARGU|引入话题|La question de … fait débat|expr.|The issue of … is debated|……的问题引发争论|Tâche 3 引出议题|La question du logement fait débat depuis des années.
ARGU|引入话题|Ce sujet suscite de vives réactions|expr.|This topic provokes strong reactions|该话题引发强烈反响|高分开场|Ce sujet suscite de vives réactions dans la société.
ARGU|引入话题|Il convient de s'interroger sur|expr.|It is worth questioning|有必要思考|正式书面开场|Il convient de s'interroger sur les conséquences de cette mesure.
ARGU|表明立场|À mon avis / Selon moi|loc.|In my opinion|在我看来|基础表态，别重复用|À mon avis, cette solution est la meilleure.
ARGU|表明立场|Je suis convaincu(e) que|expr.|I am convinced that|我确信|比 je pense 有力|Je suis convaincu que cette réforme est nécessaire.
ARGU|表明立场|Personnellement, je pense que|expr.|Personally, I think that|我个人认为|口语过渡|Personnellement, je pense que les deux avis se complètent.
ARGU|表明立场|Je partage plutôt le point de vue de|expr.|I rather share the view of|我比较赞同……的观点|Tâche 3 第二部分核心句|Je partage plutôt le point de vue du deuxième auteur.
ARGU|表明立场|Je suis pour / contre|expr.|I am for / against|我支持/反对|简明表态|Je suis contre l'interdiction totale.
ARGU|表明立场|Il me semble que|expr.|It seems to me that|我觉得|肯定形式后接直陈式|Il me semble que cette approche est plus réaliste.
ARGU|表明立场|Je ne suis pas tout à fait d'accord|expr.|I do not entirely agree|我不完全同意|有保留的反对，显成熟|Je ne suis pas tout à fait d'accord avec cette idée.
ARGU|表明立场|prendre position|expr.|to take a stand|表明立场|Tâche 3 评分要求的动作|Il faut prendre position clairement.
ARGU|引述文本|Le premier document souligne que|expr.|The first document stresses that|第一篇文章强调|Tâche 3 第一部分固定句|Le premier document souligne les avantages du télétravail.
ARGU|引述文本|L'auteur affirme que|expr.|The author claims that|作者主张|转述动词|L'auteur affirme que la mesure est inefficace.
ARGU|引述文本|met en avant|expr.|highlights / puts forward|凸显/提出|高分转述|Le texte met en avant les risques pour la santé.
ARGU|引述文本|nuance son propos|expr.|qualifies his/her statement|使观点更细致|高分转述|L'auteur nuance son propos en fin de texte.
ARGU|引述文本|s'oppose à|v.|opposes|反对|对比两文观点|Le deuxième document s'oppose à cette vision.
ARGU|引述文本|rejoint l'idée de|expr.|agrees with the idea of|与……观点一致|对比两文的另一面|Ce point de vue rejoint l'idée du premier texte.
ARGU|论证展开|D'une part … d'autre part|loc.|On the one hand … on the other hand|一方面……另一方面|成对出现，缺一不可|D'une part le coût baisse, d'autre part la qualité souffre.
ARGU|论证展开|Tout d'abord … Ensuite … Enfin|loc.|First … Then … Finally|首先……其次……最后|最安全的三段结构|Tout d'abord, c'est économique. Ensuite, c'est écologique.
ARGU|论证展开|En premier lieu / En second lieu|loc.|Firstly / Secondly|第一/第二|比 premièrement 正式|En premier lieu, il faut considérer le coût.
ARGU|论证展开|De plus / Par ailleurs|loc.|Moreover / Furthermore|此外|递进，par ailleurs 更书面|Par ailleurs, cette solution est plus rapide.
ARGU|论证展开|Non seulement … mais aussi|loc.|Not only … but also|不仅……而且|高分并列结构|Non seulement c'est cher, mais aussi peu fiable.
ARGU|论证展开|Prenons l'exemple de|expr.|Let us take the example of|以……为例|举例，比 par exemple 更有力|Prenons l'exemple du transport en commun.
ARGU|论证展开|C'est le cas de|expr.|This is the case of|……就是一例|举例变体|C'est le cas de nombreuses familles.
ARGU|论证展开|En effet|adv.|Indeed|确实/因为|承接并解释上一句，非常高频|En effet, les loyers ont doublé en dix ans.
ARGU|论证展开|Autrement dit|loc.|In other words|换句话说|改述，显示语言储备|Autrement dit, la mesure profite surtout aux riches.
ARGU|论证展开|Cela s'explique par|expr.|This can be explained by|这可以由……解释|因果高分句|Cela s'explique par le manque de logements.
ARGU|让步转折|Certes … mais|loc.|Admittedly … but|诚然……但是|让步结构，TCF 评分喜欢|Certes, c'est coûteux, mais les bénéfices sont durables.
ARGU|让步转折|Il est vrai que … cependant|loc.|It is true that … however|确实……然而|与 certes 轮换|Il est vrai que cela demande du temps, cependant le résultat en vaut la peine.
ARGU|让步转折|En revanche / Par contre|loc.|On the other hand / In contrast|相反地|par contre 更口语，en revanche 更书面|En revanche, le coût reste élevé.
ARGU|让步转折|Bien que + 虚拟式|conj.|Although|尽管|必须接虚拟式，考点|Bien que ce soit difficile, cela reste possible.
ARGU|让步转折|Même si + 直陈式|conj.|Even if / Even though|即使|接直陈式，与 bien que 区分|Même si le prix augmente, la demande reste forte.
ARGU|让步转折|Malgré + 名词|prep.|Despite|尽管|后只能接名词，不接从句|Malgré les difficultés, le projet a abouti.
