section	theme	fr	pos	en	zh	note	exemple
ARGU	引述文本	dénonce	v.	denounces / criticises	抨击	带批判色彩的转述	Le second auteur dénonce le manque de moyens.
ARGU	让步转折	Toutefois / Néanmoins	adv.	However / Nevertheless	然而/尽管如此	正式转折，胜过 mais	Néanmoins, certains risques subsistent.
ARGU	让步转折	Or	conj.	Now / Yet	然而（引出转折事实）	书面高分连词	Or, les chiffres montrent le contraire.
ARGU	因果结果	entraîner / provoquer	v.	to lead to / to cause	导致	因果动词，比 causer 高级	Cette décision a entraîné de nombreuses protestations.
EE	Tâche1-落款	Cordialement	expr.	Kind regards	此致	半正式最安全落款	Cordialement, Jian Zhou
EE	Tâche2-叙事	Finalement	adv.	In the end	最终	叙事收束	Finalement, tout s'est bien passé.
CANADA	加法差异	le courriel	n.m.	email	电子邮件	魁北克坚持用 courriel，法国说 e-mail/mail	Je vous enverrai les documents par courriel.
CANADA	加法差异	le stationnement	n.m.	parking	停车场/停车位	魁北克不说 parking，这是高频听力词	Le stationnement est gratuit le soir.
CANADA	加法差异	magasiner / le magasinage	v./n.m.	to shop / shopping	购物	魁北克说法，法国说 faire du shopping	Je vais magasiner cet après-midi.
CANADA	加法差异	le dépanneur	n.m.	convenience store	便利店	魁北克独有词，考试与生活双高频	Il y a un dépanneur au coin de la rue.
CANADA	加法差异	le déjeuner / le dîner / le souper	n.m.	breakfast / lunch / dinner	早餐/午餐/晚餐	魁北克三餐名称整体前移一位，与法国不同，极易混	On se retrouve pour le souper à 18 h.
CANADA	加法差异	le char	n.m.	car	车	魁北克口语，正式场合用 la voiture	Mon char est au garage.
CANADA	加法差异	la job	n.f.	job	工作	魁北克口语且是阴性，法国说 le boulot	J'ai trouvé une bonne job.
CANADA	加法差异	le breuvage	n.m.	beverage	饮料	魁北克用法，法国说 la boisson	Quel breuvage désirez-vous ?
CANADA	加法差异	la traverse / le traversier	n.f./n.m.	crossing / ferry	人行横道/渡轮	魁北克用 traversier，法国说 ferry	Nous prendrons le traversier pour Lévis.
CANADA	加法差异	le cellulaire	n.m.	cell phone	手机	魁北克说 cellulaire，法国说 portable	Éteignez votre cellulaire, s'il vous plaît.
CANADA	加法差异	la piastre / la piasse	n.f.	dollar (slang)	块钱	魁北克口语说钱	Ça m'a coûté trente piasses.
CANADA	加法差异	présentement	adv.	currently	目前	魁北克常用，法国多说 actuellement	Je suis présentement en formation.
CANADA	加法差异	bienvenue !	expr.	you are welcome	不客气	魁北克特有回应 merci，法国说 de rien	— Merci ! — Bienvenue !
CANADA	加法差异	Bonjour-hi	expr.	Hello (bilingual greeting)	蒙特利尔双语问候	蒙特利尔商店特有现象，社会议题	À Montréal, on entend souvent « Bonjour-hi ».
CANADA	机构	le CLSC	n.m.	local community health centre	社区健康服务中心	魁北克医疗体系入口，听力必考缩写	Je dois prendre rendez-vous au CLSC.
CANADA	机构	la RAMQ	n.f.	Quebec health insurance board	魁北克医保局	发放 carte soleil 医保卡	Ma carte de la RAMQ expire en mars.
CANADA	机构	le cégep	n.m.	pre-university/technical college	大学预科兼技术学院	魁北克独有学制，高中与大学之间两年	Ma fille commence le cégep en septembre.
CANADA	机构	la SAQ	n.f.	Quebec liquor board	魁北克酒类专卖局	买酒只能去 SAQ	On achète le vin à la SAQ.
CANADA	机构	la SAAQ	n.f.	Quebec auto insurance board	魁北克车辆保险局	办驾照和车牌	Il faut renouveler le permis à la SAAQ.
CANADA	机构	la garderie / le CPE	n.f./n.m.	daycare / early childhood centre	托儿所	魁北克补贴托儿是重要社会议题	Les places en garderie sont très demandées.
CANADA	机构	la municipalité / la ville	n.f.	municipality / city	市政府	三级政府之一	La municipalité s'occupe du déneigement.
CANADA	移民身份	le parrainage	n.m.	sponsorship	担保移民	家庭团聚	Elle a déposé une demande de parrainage pour ses parents.
CANADA	移民身份	l'intégration	n.f.	integration	融入	社会议题高频	L'intégration des nouveaux arrivants passe par la langue.
CANADA	移民身份	la francisation	n.f.	French-language training	法语培训（政府免费）	魁北克独有项目名，听力高频	Je suis des cours de francisation le soir.
CANADA	社会福利	le NAS (numéro d'assurance sociale)	n.m.	Social Insurance Number	社会保险号	工作必备，听力会念全称	Vous devez fournir votre NAS à l'employeur.
CANADA	社会福利	l'assurance-emploi	n.f.	Employment Insurance	就业保险	失业与产假津贴	Il touche l'assurance-emploi depuis deux mois.
CANADA	社会福利	le REER / le CELI	n.m.	RRSP / TFSA	注册退休储蓄计划/免税储蓄账户	加拿大理财必备缩写	Je cotise à mon REER chaque année.
CANADA	冬季生活	le déneigement	n.m.	snow removal	除雪	加拿大冬季核心词，市政服务	Le déneigement des trottoirs relève de la ville.
CANADA	冬季生活	la poudrerie	n.f.	blowing snow	吹雪	魁北克气象词，天气预报常见	La poudrerie réduit la visibilité sur l'autoroute.
CANADA	冬季生活	le verglas	n.m.	freezing rain / black ice	冻雨/地面结冰	加拿大冬季危险天气	Attention au verglas ce matin.
CANADA	冬季生活	la tuque / les mitaines	n.f.	toque / mittens	毛线帽/连指手套	魁北克特有说法	N'oublie pas ta tuque, il fait froid !
CANADA	冬季生活	la canicule	n.f.	heat wave	酷暑	夏季对应词	Une canicule est annoncée pour la semaine prochaine.
CANADA	文化生活	la poutine	n.f.	poutine	肉汁奶酪薯条	魁北克国菜	La poutine est un plat emblématique du Québec.
CANADA	文化生活	le pourboire	n.m.	tip	小费	北美必须给，通常 15 到 20 个百分点	Le pourboire n'est pas inclus dans l'addition.
CANADA	文化生活	le bilinguisme	n.m.	bilingualism	双语制	加拿大国策，议论题高频	Le bilinguisme est inscrit dans la Constitution canadienne.
CANADA	文化生活	l'interculturalisme / le multiculturalisme	n.m.	interculturalism / multiculturalism	跨文化主义/多元文化主义	魁北克用前者，联邦用后者，区别是考点	Le Québec défend un modèle d'interculturalisme.
TRAVAIL	求职	les compétences	n.f.pl.	skills	技能	永远复数	Mes compétences correspondent au profil recherché.
TRAVAIL	求职	embaucher / recruter	v.	to hire / to recruit	雇佣/招聘	与 licencier 相对	L'entreprise a embauché vingt personnes.
TRAVAIL	雇佣条款	le préavis	n.m.	notice period	离职通知期	辞职流程	Je dois donner un préavis de deux semaines.
TRAVAIL	日常职场	le collègue / la collègue	n.	colleague	同事	阴阳同形	Ma collègue m'a remplacé hier.
TRAVAIL	日常职场	la réunion	n.f.	meeting	会议	assister à / reporter une réunion	La réunion a été reportée à jeudi.
TRAVAIL	日常职场	le télétravail	n.m.	remote work	远程办公	TCF 议论题头号热点	Le télétravail s'est généralisé depuis 2020.
TRAVAIL	职场问题	démissionner	v.	to resign	辞职	主动离职	Elle a démissionné après cinq ans.
TRAVAIL	职场问题	le chômage	n.f.	unemployment	失业	être au chômage	Le taux de chômage a baissé.
TRAVAIL	职场问题	le harcèlement	n.m.	harassment	骚扰	职场法规高频	L'entreprise a une politique contre le harcèlement.
TRAVAIL	职场问题	le syndicat	n.m.	union	工会	加拿大工会力量强	Les employés sont représentés par un syndicat.
LOGEMENT	租房	le logement	n.m.	housing / accommodation	住房	万能词，社会议题核心	La crise du logement touche toutes les grandes villes.
LOGEMENT	租房	le loyer	n.m.	rent	房租	payer le loyer	Le loyer a augmenté de cent dollars.
LOGEMENT	租房	le propriétaire / le locataire	n.m.	landlord / tenant	房东/租客	成对出现，Tâche 1 常见收件人	J'ai écrit au propriétaire pour signaler la fuite.
LOGEMENT	租房	le bail	n.m.	lease	租约	复数 baux，签约动词 signer un bail	Mon bail se termine le 30 juin.
LOGEMENT	租房	les charges	n.f.pl.	utilities / service charges	杂费（水电等）	charges comprises 是广告高频	Le loyer est de 900 dollars, charges comprises.
LOGEMENT	租房	le colocataire / la colocation	n.m./n.f.	roommate / flat-share	合租室友/合租	年轻人与学生高频	Je cherche un colocataire pour partager le loyer.
LOGEMENT	租房	emménager / déménager	v.	to move in / to move out	搬入/搬家	魁北克 7 月 1 日是搬家日	Nous déménageons le premier juillet.
LOGEMENT	维修	le chauffage	n.m.	heating	暖气	加拿大冬季核心报修	Le chauffage ne fonctionne plus depuis hier.
LOGEMENT	维修	réparer / la réparation	v./n.f.	to repair / repair	维修	报修核心动词	Les réparations ont été faites le jour même.
LOGEMENT	维修	la moisissure	n.f.	mould	霉菌	健康类严重报修理由	Il y a de la moisissure dans la salle de bain.
LOGEMENT	维修	l'infiltration	n.f.	water infiltration / seepage	渗水	加拿大住房常见问题	Une infiltration a endommagé le plafond.
LOGEMENT	维修	le concierge	n.m.	building superintendent	楼管	加拿大公寓管理员	Le concierge viendra demain matin.
LOGEMENT	邻里	le voisin / le voisinage	n.m.	neighbour / neighbourhood	邻居/邻里	Tâche 2 与 EO2 高频场景	Mes voisins font du bruit tard le soir.
LOGEMENT	邻里	les ordures / le recyclage / le compost	n.f.pl./n.m.	garbage / recycling / compost	垃圾/回收/厨余	加拿大三分类	Le compost est ramassé le mardi.
LOGEMENT	购房	l'hypothèque	n.f.	mortgage	按揭贷款	加拿大用 hypothèque，法国说 prêt immobilier	Le taux d'hypothèque a encore augmenté.
LOGEMENT	购房	la banlieue	n.f.	suburbs	郊区	与 le centre-ville 相对	Les prix sont plus abordables en banlieue.
LOGEMENT	社会议题	l'itinérance	n.f.	homelessness	无家可归	魁北克用 itinérance，法国说 sans-abrisme	L'itinérance augmente dans les grandes villes.
LOGEMENT	社会议题	l'embourgeoisement	n.m.	gentrification	中产化/绅士化	城市议题高分词	L'embourgeoisement chasse les résidents de longue date.
SANTE	就医	l'urgence / les urgences	n.f.	emergency room	急诊	魁北克说 à l'urgence	L'attente à l'urgence était de six heures.
SANTE	就医	le spécialiste	n.m.	specialist	专科医生	需转诊	Mon médecin m'a référé à un spécialiste.
SANTE	就医	l'ordonnance / la prescription	n.f.	prescription	处方	魁北克两者都用	Le pharmacien a renouvelé mon ordonnance.
SANTE	就医	la pharmacie / le pharmacien	n.f./n.m.	pharmacy / pharmacist	药房/药剂师	生活场景	La pharmacie est ouverte jusqu'à 21 h.
